fts,updated,id,home_team,away_team,kick_off,score,odd1,oddX,odd2,area_name,competition_name,datetime
"(0:1, 0:0)",2017-06-07 11:17:54.453424,0,Quilmes,Patronato,00:00,0:1,,,,Argentina, Primera Division,2017-06-06 00:00:00
"(1:0, 2:0)",2017-06-07 11:17:54.455897,0,Aparecidense,Uniao Rondonopolis,00:30,3:0,,,,Brazil, Série D,2017-06-06 00:30:00
"(2:0, 1:0)",2017-06-07 11:17:54.457438,0,Bahia,Atletico GO,01:00,3:0,,,,Brazil, Série A,2017-06-06 01:00:00
"(0:0, 2:0)",2017-06-07 11:17:54.458936,0,Trem,Princesa Solimoes,01:30,2:0,,,,Brazil, Série D,2017-06-06 01:30:00
"(0:0, 0:0)",2017-06-07 11:17:54.460439,0,Boston River,Penarol,01:30,0:0,,,,Uruguay, Primera Division,2017-06-06 01:30:00
"(0:0, 0:1)",2017-06-07 11:17:54.461916,0,Confianca,Remo,02:00,0:1,,,,Brazil, Série C,2017-06-06 02:00:00
"(1:1, 1:0, 3:4)",2017-06-07 11:17:54.463413,0,Quindio,Real Santander,02:00,2:2 ,,,,Colombia, Torneo Aguila,2017-06-06 02:00:00
"(1:0, 2:0)",2017-06-07 11:17:54.464802,0,Argentinos Jrs,Boca Unidos,02:05,3:0,,,,Argentina, Primera B Nacional,2017-06-06 02:05:00
"(1:1, 0:0)",2017-06-07 11:17:54.466231,0,Racing Club,Aldosivi,02:15,1:1,,,,Argentina, Primera Division,2017-06-06 02:15:00
"(0:1, 2:0)",2017-06-07 11:17:54.467688,0,Arnett Gardens,Portmore,03:30,2:1,,,,Jamaica, Premier League,2017-06-06 03:30:00
"(0:0, 0:2)",2017-06-07 11:17:54.469172,0,Jeju Utd,Suwon Bluewings,12:00,0:2,,,,South Korea, Korean Cup,2017-06-06 12:00:00
 ,2017-06-07 11:17:54.470619,0,Rayong FC,Thai Honda FC,12:00,CAN.,,,,World, Club Friendly,2017-06-06 12:00:00
"(0:0, 1:1, 0:0, 6:5)",2017-06-07 11:17:54.472121,0,Landvetter,Assyriska BK,13:00,2:1 ,,,,Sweden, Svenska Cupen,2017-06-06 13:00:00
"(0:0, 0:0)",2017-06-07 11:17:54.473545,0,La Cure Sylvester,Port Louis,13:30,0:0,,,,Mauritius, Mauritian League,2017-06-06 13:30:00
"(2:0, 0:2)",2017-06-07 11:17:54.474970,0,Habo,Stromsbergs,13:30,2:2,,,,Sweden, Division 2 - Norra Svealand,2017-06-06 13:30:00
"(1:0, 1:1)",2017-06-07 11:17:54.476380,0,Hlucin U19,Sigma Olomouc U19,14:00,2:1,,,,Czech Republic, U19 League,2017-06-06 14:00:00
"(2:0, 4:0)",2017-06-07 11:17:54.477738,0,Orebro Syr.,Boo FF,14:00,6:0,,,,Sweden, Division 2 - Södra Svealand,2017-06-06 14:00:00
"(0:0, 1:0)",2017-06-07 11:17:54.479112,0,Finland U21,Slovenia U21,14:00,1:0,,,,World, Friendly International,2017-06-06 14:00:00
 ,2017-06-07 11:17:54.480979,0,Tenhults,Varbergs GIF,15:00,1:0,,,,Sweden, Division 2 - Västra Götaland,2017-06-06 15:00:00
"(4:1, 1:0)",2017-06-07 11:17:54.482340,0,Umea W,Holmalunds W,15:00,5:1,,,,Sweden, Elitettan Women,2017-06-06 15:00:00
"(0:0, 1:1)",2017-06-07 11:17:54.484217,0,Al Shorta,Al Jazira,15:00,1:1,,,,Syria, Premier League,2017-06-06 15:00:00
"(0:0, 1:1)",2017-06-07 11:17:54.485586,0,Singapore,Myanmar,15:00,1:1,,,,World, Friendly International,2017-06-06 15:00:00
"(0:0, 0:0)",2017-06-07 11:17:54.486985,0,Simba,Nakuru AllStars,15:00,0:0,,,,World, Club Friendly,2017-06-06 15:00:00
"(1:1, 0:0)",2017-06-07 11:17:54.488812,0,Malaysia U23,Felda Utd.,15:30,1:1,,,,World, Friendly International,2017-06-06 15:30:00
"(1:0, 1:0)",2017-06-07 11:17:54.490112,0,Sumy,Balkany Zorya,16:00,2:0,,,,Ukraine, Division 2,2017-06-06 16:00:00
"(2:0, 2:0)",2017-06-07 11:17:54.491432,0,Odra Petrkovice,Zlin B,16:30,4:0,,,,Czech Republic, MSFL,2017-06-06 16:30:00
"(0:0, 2:0)",2017-06-07 11:17:54.493213,0,Uzbekistan,Thailand,17:00,2:0,,,,World, Friendly International,2017-06-06 17:00:00
"(1:1, 0:1)",2017-06-07 11:17:54.494527,0,Indonesia U19,Scotland U20,17:00,1:2,,,,World, Toulon Tournament,2017-06-06 17:00:00
"(0:1, 0:1)",2017-06-07 11:17:54.495856,0,Albania W,Slovenia W,17:00,0:2,,,,World, Friendly International Women,2017-06-06 17:00:00
 ,2017-06-07 11:17:54.497191,0,Jeunesse Club,SO Armee,17:30,0:2,,,,Ivory Coast, Ligue 1,2017-06-06 17:30:00
"(2:0, 1:1)",2017-06-07 11:17:54.498503,0,Uddevalla,Skoftebyns,18:00,3:1,,,,Sweden, Division 2 - Norra Götaland,2017-06-06 18:00:00
"(1:1, 1:1)",2017-06-07 11:17:54.499791,0,Bosnia & Herzegovina W,Croatia W,18:00,2:2,,,,World, Friendly International Women,2017-06-06 18:00:00
,2017-06-07 11:17:54.501028,0,Salif Keita,AS Nianan,18:30,,2.50,3.00,2.65,Mali, Premiere Division,2017-06-06 18:30:00
"(0:0, 1:1)",2017-06-07 11:17:54.503252,0,Israel,Moldova,19:30,1:1,,,,World, Friendly International,2017-06-06 19:30:00
"(0:0, 0:0)",2017-06-07 11:17:54.504498,0,Brazil U20,Czech Republic U19,19:30,0:0,,,,World, Toulon Tournament,2017-06-06 19:30:00
"(0:0, 1:0, 4:1)",2017-06-07 11:17:54.505743,0,Defensores Belgrano VR,Gutierrez Mendoza,20:00,2:0 ,,,,Argentina, Torneo Federal A,2017-06-06 20:00:00
"(0:1, 0:4)",2017-06-07 11:17:54.506973,0,Sindri,Vestri,20:00,0:5,,,,Iceland, Division 2,2017-06-06 20:00:00
